market,Brasil,Indonesia,NaturalGas,Soybean,Japan,India,Turkey,China,Bitcoin,france,Italy,UK,oil,Canada,Germany,Agentina,corn,Aluminium,Wheat,Gold,Ethereum,Southkorea,Sugar,Mexico,Tehther,Russia,US
Brasil, 9.59, 1.51, 2.45, 1.75, 2.43, 3.09, 1.19, 2.46, 3.37, 4.17, 4.64, 3.06, 7.73, 5.78, 4.96, 2.63, 1.45, 0.30, 3.52, 5.35, 6.87, 2.18, 6.43, 2.49, 2.39, 2.72, 5.49
Indonesia, 3.60,11.60, 5.03, 1.05, 3.05, 3.85, 1.61, 1.61, 5.81, 3.53, 3.33, 2.71, 5.25, 3.68, 3.41, 2.66, 1.19, 0.31, 3.43, 3.99, 7.31, 2.08, 6.62, 2.04, 4.34, 3.21, 3.68
NaturalGas, 1.56, 4.90,18.46, 1.66, 2.08, 3.31, 1.41, 1.34, 6.76, 3.66, 2.94, 1.84, 3.65, 2.27, 2.78, 4.38, 1.63, 0.26, 7.08, 2.89, 5.58, 2.91, 2.37, 2.47, 8.64, 0.94, 2.22
Soybean, 2.50, 2.97, 3.95,13.46, 3.21, 2.65, 0.54, 2.21, 7.57, 2.97, 2.68, 2.62, 5.20, 2.80, 2.55, 5.33, 1.33, 0.48, 3.39, 4.13, 9.17, 3.95, 2.87, 1.40, 6.35, 1.20, 2.52
Japan, 2.08, 1.51, 2.95, 0.84,14.19, 2.19, 1.50, 1.69, 1.66, 3.99, 3.77, 3.60, 6.53, 3.10, 3.68, 4.87, 2.59, 0.52, 8.02, 7.05, 3.13, 7.79, 2.05, 2.73, 1.68, 2.90, 3.39
India, 4.31, 2.19, 3.28, 1.78, 2.90,10.82, 1.41, 3.18, 3.87, 4.09, 4.97, 3.43, 6.60, 4.76, 4.71, 2.41, 1.54, 0.25, 2.83, 4.81, 6.45, 1.89, 5.72, 1.60, 2.83, 2.39, 4.98
Turkey, 4.28, 2.19, 3.15, 1.79, 2.90, 2.74,10.22, 1.74, 3.16, 2.86, 2.92, 3.26, 7.15, 4.08, 3.24, 3.56, 1.17, 0.32, 3.49, 6.77, 6.12, 2.32, 7.88, 3.33, 2.59, 2.19, 4.58
China, 5.39, 0.86, 1.92, 3.00, 2.70, 4.81, 0.79,17.97, 2.12, 3.30, 4.08, 2.84, 6.33, 4.02, 4.23, 2.41, 1.45, 0.82, 3.05, 4.12, 4.43, 2.33, 6.36, 2.66, 1.97, 2.13, 3.92
Bitcoin, 1.83, 5.84, 2.51, 1.82, 3.50, 2.45, 0.89, 1.68,26.01, 1.05, 1.19, 1.84, 2.06, 1.56, 1.04, 3.05, 1.38, 0.41, 2.16, 1.91,20.22, 2.42, 2.09, 1.40, 7.29, 1.03, 1.38
france, 4.58, 1.96, 3.91, 2.14, 2.28, 3.87, 0.58, 2.02, 3.33, 8.53, 7.58, 3.82, 6.46, 5.40, 7.88, 3.22, 1.27, 0.41, 3.34, 4.51, 4.22, 1.85, 5.06, 1.54, 2.41, 2.29, 5.55
Italy, 4.93, 1.91, 2.91, 2.26, 2.30, 4.51, 0.68, 2.48, 3.32, 7.42, 8.66, 3.70, 6.05, 5.54, 8.16, 2.51, 1.33, 0.43, 4.21, 4.38, 3.93, 1.55, 5.00, 1.58, 2.28, 2.35, 5.65
UK, 4.75, 1.85, 2.10, 2.47, 2.68, 3.80, 2.22, 2.18, 3.23, 5.09, 4.77, 9.89, 4.50, 5.37, 4.63, 1.93, 1.46, 0.38, 5.65, 4.54, 4.64, 2.02, 5.52, 3.18, 3.00, 2.98, 5.20
oil, 4.23, 1.03, 3.54, 0.96, 1.99, 3.77, 1.13, 2.19, 1.92, 4.25, 5.33, 2.21,17.57, 3.98, 5.89, 3.24, 1.27, 0.21, 2.91,13.14, 3.02, 1.51, 5.25, 1.42, 1.74, 2.04, 4.26
Canada, 6.23, 1.69, 2.86, 1.85, 2.71, 3.66, 1.46, 2.20, 3.12, 4.62, 4.83, 3.69, 7.01, 7.34, 5.09, 2.80, 1.46, 0.30, 4.37, 5.18, 5.84, 1.86, 6.02, 2.52, 2.43, 2.56, 6.32
Germany, 4.94, 1.75, 2.91, 1.78, 2.38, 4.21, 0.68, 2.58, 2.97, 7.84, 8.32, 3.63, 6.24, 5.59, 9.40, 2.65, 1.44, 0.51, 4.43, 4.14, 3.69, 1.43, 5.37, 1.58, 2.06, 2.04, 5.45
Agentina, 1.89, 2.48, 7.24, 2.34, 2.99, 1.92, 0.74, 1.14, 5.72, 3.72, 2.72, 2.05, 5.97, 2.48, 2.81,15.02, 1.77, 0.32, 7.04, 4.25, 7.87, 3.55, 3.71, 2.10, 4.75, 1.22, 2.22
corn, 4.00, 0.81, 3.38, 1.77, 3.95, 2.91, 1.24, 1.88, 2.12, 3.04, 3.08, 2.91, 3.26, 3.85, 3.38, 3.39,24.67, 0.40, 5.37, 2.50, 4.25, 1.17, 5.09, 2.77, 3.61, 1.54, 3.67
Aluminium, 1.03, 1.52, 1.77, 0.87, 1.95, 0.88, 0.90, 2.48, 2.73, 1.85, 1.95, 1.08, 1.91, 1.02, 2.34, 1.43, 0.64,55.06, 1.19, 1.86, 2.73, 2.06, 2.18, 4.05, 2.48, 1.05, 0.98
Wheat, 1.68, 0.89, 9.83, 0.81, 1.14, 1.23, 1.71, 0.83, 1.18, 4.45, 2.94, 5.91, 2.93, 2.14, 2.28, 5.04, 1.53, 0.31,34.67, 3.52, 1.87, 1.42, 2.56, 3.86, 2.21, 1.06, 1.98
Gold, 4.42, 1.26, 2.26, 1.33, 2.66, 3.39, 2.48, 2.24, 2.46, 3.39, 4.26, 3.02,12.92, 4.17, 4.44, 2.51, 1.06, 0.26, 2.99,14.50, 5.01, 1.70, 6.15, 2.88, 1.80, 1.98, 4.46
Ethereum, 1.86, 4.04, 2.10, 1.61, 4.86, 2.80, 1.13, 1.57,15.25, 1.74, 1.57, 1.68, 4.05, 1.61, 1.52, 5.25, 1.40, 0.49, 1.78, 3.51,24.10, 4.16, 2.85, 1.01, 5.07, 1.40, 1.60
Southkorea, 2.60, 3.00, 4.32, 1.70, 9.01, 2.14, 0.80, 1.59, 4.57, 2.82, 2.27, 2.55, 6.28, 2.23, 2.19, 5.38, 1.02, 0.71, 3.43, 6.60, 5.70,15.59, 2.48, 1.71, 4.51, 2.47, 2.32
Sugar, 4.47, 1.28, 3.18, 2.28, 2.68, 3.25, 0.79, 2.16, 3.64, 3.81, 3.79, 2.44, 8.14, 3.83, 4.32, 4.31, 1.63, 0.36, 5.46, 4.86, 6.56, 2.33,14.74, 1.87, 2.60, 1.58, 3.63
Mexico, 3.35, 2.73, 4.02, 2.46, 3.94, 2.12, 2.18, 1.64, 5.18, 2.76, 2.17, 2.80, 3.73, 3.09, 2.30, 4.27, 1.16, 1.26, 2.92, 4.64, 8.72, 3.23, 3.47,14.22, 5.43, 3.23, 2.98
Tehther, 2.08, 4.55, 3.41, 1.25, 2.16, 3.64, 0.72, 3.17, 6.43, 1.95, 2.60, 2.10, 4.52, 2.42, 2.66, 2.12, 1.68, 0.69, 5.38, 2.67, 6.85, 1.14, 4.19, 1.38,27.07, 1.04, 2.11
Russia, 4.79, 2.31, 4.17, 1.48, 2.94, 3.72, 1.14, 2.08, 3.23, 4.43, 4.42, 3.25, 7.74, 4.51, 4.46, 3.41, 1.38, 0.30, 4.14, 5.40, 5.69, 2.29, 7.88, 2.30, 2.87, 5.14, 4.54
US, 6.12, 1.71, 2.62, 1.81, 2.80, 3.74, 1.67, 2.13, 3.02, 4.64, 4.91, 3.50, 7.53, 6.38, 5.07, 2.69, 1.40, 0.29, 3.37, 5.64, 5.98, 1.88, 6.60, 2.44, 2.39, 2.62, 7.06
